           TIME	           NODE	             XR	              Z	                 pH	             Na_mgL	             Cl_mgL	
              0	            140	        0.51456	       0.317383	  7.0955310621e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            141	        0.51456	       0.444336	  7.0998423875e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            142	        0.51456	       0.571289	  7.1041651114e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            143	        0.51456	       0.698242	  7.1084992734e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            144	        0.51456	       0.825195	  7.1128448601e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            145	        0.51456	       0.952148	  7.1172019816e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            146	        0.51456	         1.0791	  7.1215705894e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            147	        0.51456	        1.20605	  7.1259508298e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            148	        0.51456	        1.33301	  7.1303426544e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            149	        0.51456	        1.45996	  7.1347461568e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            150	        0.51456	        1.58691	  7.1391613421e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            151	        0.51456	        1.71387	  7.1435883047e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            152	        0.51456	        1.84082	  7.1480270501e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            153	        0.51456	        1.96777	  7.1518506835e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            154	        0.51456	        2.09473	  7.1555527193e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            155	        0.51456	        2.22168	  7.1592629508e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            156	        0.51456	        2.34863	  7.1629814201e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            157	        0.51456	        2.47559	  7.1667081332e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            158	        0.51456	        2.60254	  7.1704431140e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            159	        0.51456	        2.72949	  7.1741863686e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            160	        0.51456	        2.85645	  7.1789435861e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            161	        0.51456	         2.9834	  7.1837804643e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            162	        0.51456	        3.11035	  7.1886311923e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            163	        0.51456	         3.2373	  7.1935064649e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            164	        0.51456	        3.36426	  7.1986218304e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            165	        0.51456	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            166	        0.51456	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            167	        0.51456	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            168	        0.51456	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            169	        0.51456	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            172	       0.661577	      0.0634766	  7.0870025034e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            173	       0.661577	        0.19043	  7.0912913421e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            174	       0.661577	       0.317383	  7.0955915018e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            175	       0.661577	       0.444336	  7.0999030216e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            176	       0.661577	       0.571289	  7.1042258706e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            177	       0.661577	       0.698242	  7.1085601932e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            178	       0.661577	       0.825195	  7.1129059410e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            179	       0.661577	       0.952148	  7.1172632066e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            180	       0.661577	         1.0791	  7.1216319944e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            181	       0.661577	        1.20605	  7.1260123798e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            182	       0.661577	        1.33301	  7.1304044033e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            183	       0.661577	        1.45996	  7.1348080519e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            184	       0.661577	        1.58691	  7.1388927003e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            185	       0.661577	        1.71387	  7.1425661119e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            186	       0.661577	        1.84082	  7.1462476180e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            187	       0.661577	        1.96777	  7.1499372783e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            188	       0.661577	        2.09473	  7.1536350983e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            189	       0.661577	        2.22168	  7.1573410838e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            190	       0.661577	        2.34863	  7.1610553128e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            191	       0.661577	        2.47559	  7.1647777368e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            192	       0.661577	        2.60254	  7.1690744878e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            193	       0.661577	        2.72949	  7.1738831740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            194	       0.661577	        2.85645	  7.1787055762e+000	  0.0000000000e+000	  0.0000000000e+000	
